"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"479",14,"Drew Sample",CIN,"TE72","12","3 out of 5 stars","-"
"480",14,"Terrace Marshall Jr.",SF,"WR164","9","2 out of 5 stars","-"
"481",14,"Dare Ogunbowale",HOU,"RB131","14","3 out of 5 stars","-"
"482",14,"Brayden Narveson",GB,"K34","10","5 out of 5 stars","-"
"483",14,"AJ Barner",SEA,"TE73","10","3 out of 5 stars","-"
"484",14,"Cole Turner",WAS,"TE74","14","2 out of 5 stars","-"
"485",14,"Frank Gore Jr.",BUF,"RB132","12","2 out of 5 stars","-157"
"486",14,"Robert Tonyan",MIN,"TE75","6","2 out of 5 stars","-"
"487",14,"Anthony Gould",IND,"WR165","14","4 out of 5 stars","-"
"488",14,"Justyn Ross",KC,"WR166","6","3 out of 5 stars","-"
"489",14,"Josh Johnson",BAL,"QB51","14","4 out of 5 stars","-"
"490",14,"Patrick Taylor Jr.",SF,"RB133","9","2 out of 5 stars","-"
"491",14,"Kyle Philips",FA,"WR167","-","-","-"
"492",14,"Julian Hill",MIA,"TE76","6","2 out of 5 stars","-"
"493",14,"Kayshon Boutte",NE,"WR168","14","3 out of 5 stars","-"
"494",14,"Brett Maher",FA,"K35","-","-","-"
"495",14,"Hassan Haskins",LAC,"RB134","5","4 out of 5 stars","-"
"496",14,"Pharaoh Brown",SEA,"TE77","10","3 out of 5 stars","-"
"497",14,"Trent Sherfield Sr.",MIN,"WR169","6","3 out of 5 stars","-"
"498",14,"John Bates",WAS,"TE78","14","2 out of 5 stars","-"
"499",14,"Isaiah Hodgins",NYG,"WR170","11","3 out of 5 stars","-"
"500",14,"MyCole Pruitt",PIT,"TE79","9","3 out of 5 stars","-"
"501",14,"Charlie Woerner",ATL,"TE80","12","3 out of 5 stars","-"
"502",14,"Allen Robinson II",DET,"WR171","5","4 out of 5 stars","-"
"503",14,"Tip Reiman",ARI,"TE81","11","5 out of 5 stars","-"
"504",14,"Scotty Miller",PIT,"WR172","9","1 out of 5 stars","-"
"505",14,"Zach Evans",FA,"RB135","-","-","-"
"506",14,"Jha'Quan Jackson",TEN,"WR173","5","4 out of 5 stars","-"
"507",14,"Derius Davis",LAC,"WR174","5","3 out of 5 stars","-"
"508",14,"Harrison Bryant",LV,"TE82","10","4 out of 5 stars","-"
"509",14,"Trey Lance",DAL,"QB52","7","2 out of 5 stars","-"
"510",14,"Connor Heyward",PIT,"TE83","9","3 out of 5 stars","-"
"511",14,"Payne Durham",TB,"TE84","11","3 out of 5 stars","-"
"512",14,"Brenton Strange",JAC,"TE85","12","3 out of 5 stars","-"
"513",14,"Isaiah Williams",DET,"WR175","5","4 out of 5 stars","-"
"514",14,"Boston Scott",FA,"RB136","-","-","-"
"515",14,"Jimmy Garoppolo",LAR,"QB53","6","4 out of 5 stars","-"
"516",14,"C.J. Ham",MIN,"RB137","6","3 out of 5 stars","-"
"517",14,"Leonard Fournette",FA,"RB138","-","-","-"
"518",14,"Hunter Luepke",DAL,"RB139","7","3 out of 5 stars","-"
"519",14,"Myles Gaskin",MIN,"RB140","6","3 out of 5 stars","-"
"520",14,"Raheem Blackshear",CAR,"RB141","11","4 out of 5 stars","-"
"521",14,"Daurice Fountain",FA,"WR176","-","-","-"
"522",14,"Zach Wilson",DEN,"QB54","14","2 out of 5 stars","-"
"523",14,"Sterling Shepard",TB,"WR177","11","3 out of 5 stars","-"
"524",14,"Denzel Mims",FA,"WR178","-","-","-"
"525",14,"Quez Watkins",FA,"WR179","-","-","-"
"526",14,"Ian Thomas",CAR,"TE86","11","3 out of 5 stars","-"
"527",14,"Darrynton Evans",BUF,"RB142","12","2 out of 5 stars","-"
"528",14,"DJ Turner",LV,"WR180","10","3 out of 5 stars","-"
"529",14,"Dallin Holker",NO,"TE87","12","4 out of 5 stars","-"
"530",14,"Desmond Ridder",ARI,"QB55","11","2 out of 5 stars","-"
"531",14,"Cornelius Johnson",LAC,"WR181","5","3 out of 5 stars","-"
"532",14,"Deonte Harty",BAL,"WR182","14","3 out of 5 stars","-"
"533",14,"Mason Tipton",NO,"WR183","12","3 out of 5 stars","-"
"534",14,"Reggie Gilliam",BUF,"RB143","12","2 out of 5 stars","-"
"535",14,"Ashton Dulin",IND,"WR184","14","4 out of 5 stars","-"
"536",14,"Malik Heath",GB,"WR185","10","4 out of 5 stars","-"
"537",14,"Drew Ogletree",IND,"TE88","14","3 out of 5 stars","-"
"538",14,"Jordan Mims",NO,"RB144","12","5 out of 5 stars","-"
"539",14,"Luke Farrell",JAC,"TE89","12","3 out of 5 stars","-"
"540",14,"Isaiah Williams",FA,"WR186","-","-","-"
"541",14,"Joey Slye",NE,"K36","14","5 out of 5 stars","-"
"542",14,"David Moore",CAR,"WR187","11","5 out of 5 stars","-"
"543",14,"Arizona Cardinals",ARI,"DST32","11","3 out of 5 stars","-"
"544",14,"Peyton Hendershot",KC,"TE90","6","3 out of 5 stars","-"
"545",14,"Mitchell Trubisky",BUF,"QB56","12","1 out of 5 stars","-"
"546",14,"Ross Dwelley",ATL,"TE91","12","3 out of 5 stars","-"
"547",14,"Tyrion Davis-Price",PHI,"RB145","5","4 out of 5 stars","-"
"548",14,"Charlie Kolar",BAL,"TE92","14","3 out of 5 stars","-"
"549",14,"Dillon Johnson",FA,"RB146","-","-","-"
"550",14,"Robbie Chosen",MIA,"WR188","6","2 out of 5 stars","-"
"551",14,"Tanner McLachlan",CIN,"TE93","12","3 out of 5 stars","-"
"552",14,"Albert Okwuegbunam Jr.",PHI,"TE94","5","4 out of 5 stars","-"
"553",14,"Velus Jones Jr.",CHI,"WR189","7","4 out of 5 stars","-"
"554",14,"Xavier Weaver",ARI,"WR190","11","3 out of 5 stars","-"
"555",14,"KJ Hamler",BUF,"WR191","12","2 out of 5 stars","-"
"556",14,"Joe Parker",FA,"WR192","-","-","-"
"557",14,"Hunter Long",LAR,"TE95","6","3 out of 5 stars","-"
"558",14,"Owen Wright",BAL,"RB147","14","3 out of 5 stars","-"
"559",14,"Marcus Rosemy-Jacksaint",PHI,"WR193","5","2 out of 5 stars","-"
"560",14,"Ronald Jones II",FA,"RB148","-","-","-"
"561",14,"DeWayne McBride",FA,"RB149","-","-","-"
"562",14,"Tahj Washington",MIA,"WR194","6","2 out of 5 stars","-"
"563",14,"Cade York",WAS,"K37","14","2 out of 5 stars","-"
"564",14,"Kendall Milton",CIN,"RB150","12","3 out of 5 stars","-"
"565",14,"Zack Kuntz",NYJ,"TE96","12","3 out of 5 stars","-"
"566",14,"Adam Prentice",NO,"RB151","12","5 out of 5 stars","-"
"567",14,"Dante Miller",NYG,"RB152","11","3 out of 5 stars","-"
"568",14,"Michael Burton",DEN,"RB153","14","4 out of 5 stars","-"
"569",14,"DeAndre Carter",CHI,"WR195","7","4 out of 5 stars","-"
"570",15,"Jalen Reagor",NE,"WR196","14","3 out of 5 stars","-"
"571",15,"Lew Nichols III",FA,"RB154","-","-","-"
"572",15,"George Holani",SEA,"RB155","10","4 out of 5 stars","-"
"573",15,"Andy Dalton",CAR,"QB57","11","5 out of 5 stars","-"
"574",15,"Jesper Horsted",FA,"TE97","-","-","-"
"575",15,"N'Keal Harry",MIN,"WR197","6","3 out of 5 stars","-"
"576",15,"Nick Vannett",TEN,"TE98","5","4 out of 5 stars","-"
"577",15,"Chad Ryland",FA,"K38","-","-","-"
"578",15,"Hendon Hooker",DET,"QB58","5","4 out of 5 stars","-"
"579",15,"Mason Rudolph",TEN,"QB59","5","5 out of 5 stars","-"
"580",15,"Mike White",BUF,"QB60","12","1 out of 5 stars","-"
"581",15,"Samori Toure",CHI,"WR198","7","4 out of 5 stars","-"
"582",15,"Jamal Agnew",FA,"WR199","-","-","-"
"583",15,"Dylan Parham",FA,"TE99","-","-","-"
"584",15,"Chris Manhertz",NYG,"TE100","11","4 out of 5 stars","-"
"585",15,"Byron Pringle",WAS,"WR200","14","3 out of 5 stars","-"
"586",15,"Bryce Ford-Wheaton",NYG,"WR201","11","3 out of 5 stars","-"
"587",15,"Malik Willis",GB,"QB61","10","5 out of 5 stars","-"
"588",15,"Ko Kieft",TB,"TE101","11","3 out of 5 stars","-"
"589",15,"Josiah Deguara",JAC,"TE102","12","3 out of 5 stars","-"
"590",15,"Devin Culp",TB,"TE103","11","3 out of 5 stars","-"
"591",15,"Tyler Badie",DEN,"RB156","14","4 out of 5 stars","-"
"592",15,"Khari Blasingame",CHI,"RB157","7","2 out of 5 stars","-"
"593",15,"Grant Calcaterra",PHI,"TE104","5","4 out of 5 stars","-"
"594",15,"Zach Pascal",ARI,"WR202","11","3 out of 5 stars","-"
"595",15,"Quintin Morris",BUF,"TE105","12","2 out of 5 stars","-"
"596",15,"Demetric Felton Jr.",FA,"RB158","-","-","-"
"597",15,"Emeka Egbuka",FA,"WR203","-","-","-"
"598",15,"Rakim Jarrett",TB,"WR204","11","3 out of 5 stars","-"
"599",15,"Jakob Johnson",NYG,"RB159","11","3 out of 5 stars","-"
"600",15,"Tony Jones Jr.",ARI,"RB160","11","2 out of 5 stars","-"
"601",15,"Jalen Coker",CAR,"WR205","11","5 out of 5 stars","-"
"602",15,"James Robinson",FA,"RB161","-","-","-"
"603",15,"Kenny Yeboah",NYJ,"TE106","12","3 out of 5 stars","-"
"604",15,"Gary Brightwell",CLE,"RB162","10","4 out of 5 stars","-"
"605",15,"Ben Sims",GB,"TE107","10","3 out of 5 stars","-"
"606",15,"Zonovan Knight",FA,"RB163","-","-","-"
"607",15,"Emani Bailey",KC,"RB164","6","3 out of 5 stars","-"
"608",15,"Simi Fehoko",LAC,"WR206","5","3 out of 5 stars","-"
"609",15,"Ihmir Smith-Marsette",FA,"WR207","-","-","-"
"610",15,"Antoine Green",FA,"WR208","-","-","-"
"611",15,"Jack Stoll",PHI,"TE108","5","4 out of 5 stars","-"
"612",15,"Daijun Edwards",FA,"RB165","-","-","-"
"613",15,"Andrew Beck",FA,"TE109","-","-","-"
"614",15,"Stephen Sullivan",FA,"TE110","-","-","-"
"615",15,"Grant DuBose",MIA,"WR209","6","2 out of 5 stars","-"
"616",15,"Brady Russell",SEA,"TE111","10","3 out of 5 stars","-"
"617",15,"Ronnie Bell",SF,"WR210","9","2 out of 5 stars","-"
"618",15,"Chris Brooks",FA,"RB166","-","-","-"
"619",15,"Aaron Shampklin",FA,"RB167","-","-","-"
"620",15,"Daniel Helm",FA,"TE112","-","-","-"
"621",15,"Tylan Wallace",BAL,"WR211","14","3 out of 5 stars","-"
"622",15,"Carlos Washington Jr.",ATL,"RB168","12","4 out of 5 stars","-"
"623",15,"James Mitchell",DET,"TE113","5","3 out of 5 stars","-"
"624",15,"Tucker Fisk",LAC,"TE114","5","3 out of 5 stars","-"
"625",15,"Jalen Guyton",LV,"WR212","10","3 out of 5 stars","-"
"626",15,"Lawrence Cager",NYG,"WR213","11","3 out of 5 stars","-"
"627",15,"Trevon Wesco",FA,"TE115","-","-","-"
"628",15,"Tyler Kroft",FA,"TE116","-","-","-"
"629",15,"Tyler Mabry",SEA,"TE117","10","3 out of 5 stars","-"
"630",15,"Geoff Swaim",FA,"TE118","-","-","-"
"631",15,"Tyrell Shavers",BUF,"WR214","12","2 out of 5 stars","-"
"632",15,"Easton Stick",LAC,"QB62","5","2 out of 5 stars","-"
"633",15,"Anthony Schwartz",MIA,"WR215","6","2 out of 5 stars","-"
"634",15,"Nick Guggemos",FA,"TE119","-","-","-"
"635",15,"Ramel Keyton",LV,"WR216","10","3 out of 5 stars","-"
"636",15,"Trestan Ebner",FA,"RB169","-","-","-"
"637",15,"Teagan Quitoriano",HOU,"TE120","14","2 out of 5 stars","-"
"638",15,"Chris Blair",ATL,"WR217","12","4 out of 5 stars","-"
"639",15,"Stephen Carlson",CHI,"TE121","7","3 out of 5 stars","-"
"640",15,"Erik Ezukanma",MIA,"WR218","6","2 out of 5 stars","-"
"641",15,"Michael Jacobson",NO,"TE122","12","4 out of 5 stars","-"
"642",15,"Julio Jones",FA,"WR219","-","-","-"
"643",15,"Marvin Jones Jr.",FA,"WR220","-","-","-"
"644",15,"Brandon Johnson",FA,"WR221","-","-","-"
"645",15,"Tommy Hudson",NO,"TE123","12","4 out of 5 stars","-"
"646",15,"Trishton Jackson",MIN,"WR222","6","3 out of 5 stars","-"
"647",15,"Michael Wiley",WAS,"RB170","14","3 out of 5 stars","-"
"648",15,"Brayden Willis",SF,"TE124","9","4 out of 5 stars","-"
"649",15,"Jimmy Graham",FA,"TE125","-","-","-"
"650",15,"Nick Boyle",FA,"TE126","-","-","-"
"651",15,"Eric Tomlinson",LAC,"TE127","5","3 out of 5 stars","-"
"652",15,"Cooper Rush",DAL,"QB63","7","2 out of 5 stars","-"
"653",15,"Tommy DeVito",NYG,"QB64","11","2 out of 5 stars","-"
"654",15,"Rodney Williams",PIT,"TE128","9","3 out of 5 stars","-"
"655",15,"Brycen Hopkins",FA,"TE129","-","-","-"
"656",15,"Sean McKeon",IND,"TE130","14","3 out of 5 stars","-"
"657",15,"Tyler Huntley",FA,"QB65","-","-","-"
"658",15,"Zach Davidson",BUF,"TE131","12","2 out of 5 stars","-"
"659",15,"Noah Togiai",FA,"TE132","-","-","-"
"660",15,"Nick Bawden",FA,"RB171","-","-","-"
"661",15,"Zach Gentry",FA,"TE133","-","-","-"
"662",15,"Tyler Davis",GB,"TE134","10","3 out of 5 stars","-"
"663",15,"Anthony Firkser",NYJ,"TE135","12","3 out of 5 stars","-"
"664",15,"Tyree Jackson",FA,"TE136","-","-","-"
"665",15,"Curtis Hodges",FA,"TE137","-","-","-"
"666",15,"Tommy Sweeney",FA,"TE138","-","-","-"
"667",15,"Bryan Thompson",FA,"WR223","-","-","-"
"668",15,"Blake Bell",FA,"TE139","-","-","-"
"669",15,"Ryan Tannehill",FA,"QB66","-","-","-"
"670",15,"Joe Milton III",NE,"QB67","14","3 out of 5 stars","-"
"671",15,"Stetson Bennett",LAR,"QB68","6","4 out of 5 stars","-"
"672",15,"Clayton Tune",ARI,"QB69","11","2 out of 5 stars","-"
"673",15,"Jonathan Ward",PIT,"RB172","9","4 out of 5 stars","-"
"674",15,"Mike Boone",CAR,"RB173","11","4 out of 5 stars","-"
"675",15,"Equanimeous St. Brown",NO,"WR224","12","3 out of 5 stars","-"
"676",15,"Tyler Johnson",LAR,"WR225","6","3 out of 5 stars","-"
"677",15,"Jordan Scarlett",FA,"RB174","-","-","-"
"678",15,"Derrick Gore",FA,"RB175","-","-","-"
"679",15,"Jashaun Corbin",FA,"RB176","-","-","-"
"680",15,"Brandon Bolden",FA,"RB177","-","-","-"
"681",15,"Jason Brownlee",FA,"WR226","-","-","-"
"682",15,"Patrick Laird",FA,"RB178","-","-","-"
"683",16,"Deven Thompkins",FA,"WR227","-","-","-"
"684",16,"Dontrell Hilliard",FA,"RB179","-","-","-"
"685",16,"Russell Gage",FA,"WR228","-","-","-"
"686",16,"River Cracraft",MIA,"WR229","6","2 out of 5 stars","-"
"687",16,"Jermar Jefferson",DET,"RB180","5","3 out of 5 stars","-"
"688",16,"Ty Montgomery II",FA,"RB181","-","-","-"
"689",16,"Anthony McFarland Jr.",FA,"RB182","-","-","-"
"690",16,"Logan Parker",FA,"TE140","-","-","-"
"691",16,"Snoop Conner",FA,"RB183","-","-","-"
"692",16,"Chris Conley",SF,"WR230","9","2 out of 5 stars","-"
"693",16,"Wendell Smallwood",FA,"RB184","-","-","-359"
"694",16,"Jonathan Williams",FA,"RB185","-","-","-"
"695",16,"Pooka Williams Jr.",FA,"RB186","-","-","-"
"696",16,"Bisi Johnson",FA,"WR231","-","-","-"
"697",16,"Tulu Griffin",CLE,"WR232","10","3 out of 5 stars","-"
"698",16,"Miles Boykin",NYG,"WR233","11","3 out of 5 stars","-"
"699",16,"John Ross",FA,"WR234","-","-","-"
"700",16,"Dee Eskridge",MIA,"WR235","6","2 out of 5 stars","-"
"701",16,"Alex Erickson",FA,"WR236","-","-","-"
"702",16,"Devron Harper",FA,"WR237","-","-","-"
"703",16,"Jeff Foreman",LV,"WR238","10","3 out of 5 stars","-"
"704",16,"Josh Ali",FA,"WR239","-","-","-"
"705",16,"Tejhaun Palmer",ARI,"WR240","11","3 out of 5 stars","-"
"706",16,"Lynn Bowden Jr.",FA,"WR241","-","-","-"
"707",16,"Ty James",FA,"WR242","-","-","-"
"708",16,"Marquez Callaway",FA,"WR243","-","-","-"
"709",16,"Tre'Quan Smith",DET,"WR244","5","4 out of 5 stars","-"
"710",16,"Nikko Remigio",KC,"WR245","6","3 out of 5 stars","-"
"711",16,"Marquise Goodwin",FA,"WR246","-","-","-"
"712",16,"Lil'Jordan Humphrey",DEN,"WR247","14","2 out of 5 stars","-"
"713",16,"Justin Shorter",LV,"WR248","10","3 out of 5 stars","-"
"714",16,"Britain Covey",PHI,"WR249","5","2 out of 5 stars","-"
"715",16,"Laquon Treadwell",IND,"WR250","14","4 out of 5 stars","-"
"716",16,"Stanley Morgan Jr.",FA,"WR251","-","-","-"
"717",16,"Mike Strachan",FA,"WR252","-","-","-"
"718",16,"Irvin Charles",NYJ,"WR253","12","4 out of 5 stars","-"
"719",16,"Daniel Arias",FA,"WR254","-","-","-"
"720",16,"Quintez Cephus",FA,"WR255","-","-","-"
"721",16,"Juwann Winfree",IND,"WR256","14","4 out of 5 stars","-"
"722",16,"Tim Jones",JAC,"WR257","12","4 out of 5 stars","-"
"723",16,"Hakeem Butler",FA,"WR258","-","-","-"
"724",16,"Lance McCutcheon",NYJ,"WR259","12","4 out of 5 stars","-"
"725",16,"Kaylon Geiger Sr.",FA,"WR260","-","-","-"
"726",16,"Trent Taylor",SF,"WR261","9","2 out of 5 stars","-"
"727",16,"Randall Cobb",FA,"WR262","-","-","-"
"728",16,"Jeff Cotton Jr.",FA,"WR263","-","-","-"
"729",16,"Austin Trammell",JAC,"WR264","12","4 out of 5 stars","-"
"730",16,"Malik Taylor",NYJ,"WR265","12","4 out of 5 stars","-"
"731",16,"Danny Gray",FA,"WR266","-","-","-"
"732",16,"Cody Thompson",TB,"WR267","11","3 out of 5 stars","-"
"733",16,"Willie Snead IV",FA,"WR268","-","-","-"
"734",16,"Penny Hart",FA,"WR269","-","-","-"
"735",16,"D.J. Montgomery",IND,"WR270","14","4 out of 5 stars","-"
"736",16,"James Proche II",CLE,"WR271","10","3 out of 5 stars","-"
"737",16,"Dax Milne",FA,"WR272","-","-","-"
"738",16,"Marcus Kemp",FA,"WR273","-","-","-"